# First-cut rail: ordered by min grass level (fishing-only maps last).
# Hand-adjust to story order; re-running the emitter will NOT overwrite this file.
# Boss markers placed at each leader's own top level against the rail's
# wild-level ordering — an approximation of story order, not a substitute.
# Boss markers placed at each leader's own top level against the rail's
# wild-level ordering — an approximation of story order, not a substitute.
# Boss markers placed at each leader's own top level against the rail's
# wild-level ordering — an approximation of story order, not a substitute.
Starter
--BROCK's Gym|1|gym-leader|Leader BROCK
--MISTY's Gym|2|gym-leader|Leader MISTY
--LT. SURGE's Gym|3|gym-leader|Leader LT. SURGE
--ERIKA's Gym|4|gym-leader|Leader ERIKA
--KOGA's Gym|5|gym-leader|Leader KOGA
--SABRINA's Gym|6|gym-leader|Leader SABRINA
--BLAINE's Gym|7|gym-leader|Leader BLAINE
--GIOVANNI's Gym|8|gym-leader|Leader GIOVANNI
Diglett's Cave|diglett,dugtrio,trapinch
Route 1|pidgey,rattata,mareep,taillow
Route 2|caterpie,weedle,pidgey,sentret,zigzagoon,wurmple,taillow
Route 22|rattata,spearow,mankey,slakoth,psyduck,lotad,magikarp,poliwag,goldeen,poliwhirl,gyarados
Viridian Forest|caterpie,metapod,weedle,kakuna,pichu,wurmple,silcoon,cascoon,nincada
Route 3|spearow,nidoran-f,nidoran-m,jigglypuff,seedot
Mt. Moon|clefairy,zubat,geodude,makuhita,whismur,paras,sableye,mawile
Three Isle Port|dunsparce
Pattern Bush|caterpie,metapod,weedle,kakuna,ledyba,spinarak,heracross
Memorial Pillar|hoppip,tentacool,tentacruel,magikarp,horsea,psyduck,seadra,gyarados,qwilfish
Route 4|spearow,ekans,sandshrew,hoothoot,hoppip,tentacool,marowak,marill,poliwag,magikarp,krabby,horsea,carvanha,psyduck,seaking,gyarados,corphish
Altering Cave|zubat
Route 24|pidgey,oddish,abra,bellsprout,ledyba,lotad,surskit,tentacool,magikarp,krabby,horsea,goldeen,psyduck,slowpoke,gyarados,corphish
Route 25|pidgey,oddish,bellsprout,ledyba,lotad,surskit,psyduck,poliwag,magikarp,goldeen,barboach,poliwhirl,slowpoke,gyarados
Five Isle Meadow|pidgey,pidgeotto,meowth,persian,psyduck,sentret,hoppip,tentacool,tentacruel,magikarp,horsea,seadra,gyarados,qwilfish
Water Path|spearow,fearow,oddish,gloom,meowth,persian,psyduck,sentret,tentacool,tentacruel,magikarp,horsea,seadra,gyarados,qwilfish
Canyon Entrance|spearow,fearow,meowth,persian,psyduck,sentret,phanpy
Route 5|marill,hoppip,stantler,miltank,roselia,psyduck,poliwag,lotad,magikarp,feebas,barboach,poliwhirl
Route 6|meowth,hoothoot,mareep,wooper,skitty,psyduck,poliwag,magikarp,feebas,barboach,poliwhirl,gyarados
Route 9|aipom,heracross,teddiursa,shroomish,spinda,volbeat,illumise
Route 10|voltorb,elekid,nosepass,minun,gulpin,tentacool,carvanha,magikarp,krabby,horsea,psyduck,gyarados
Route 11|spearow,vulpix,drowzee,mareep,wingull,ralts,tentacool,magikarp,krabby,horsea,corphish,shellder,gyarados,remoraid
Rock Tunnel|zubat,machop,geodude,onix,gligar,makuhita,aron,graveler
Pokemon Tower|gastly,haunter,cubone,misdreavus,duskull,shuppet
Lavender Town|hoothoot,noctowl,spinarak,murkrow,absol
Lost Cave|zubat,golbat,gastly,haunter,murkrow
Ruin Valley|spearow,fearow,meowth,persian,psyduck,natu,yanma,wooper,wobbuffet,magikarp,poliwag,goldeen,poliwhirl,gyarados
Sevault Canyon|fearow,meowth,persian,geodude,onix,cubone,marowak,skarmory,phanpy,larvitar,graveler
Route 8|mankey,numel,spoink,meditite,swablu
Deepthroat Volcano|geodude,skarmory,baltoy,torkoal,numel,psyduck,golduck,slugma,magby,magmar
Route 7|oddish,meowth,sunkern,smeargle
Route 21|tangela,tentacool,carvanha,magikarp,krabby,horsea,corphish,psyduck,seadra,gyarados,relicanth,mantine,wailmer,shellder,chinchou,clamperl
Celadon City|growlithe,snubbull,granbull,houndour,poochyena,electrike,psyduck,koffing,magikarp,grimer,rattata,raticate,ditto,spinarak,ariados,muk
Mt. Ember|spearow,fearow,machop,geodude,ponyta,rapidash,graveler,machoke,slugma,magcargo
Route 16|rattata,raticate,spearow,doduo
Route 17|raticate,spearow,fearow,ponyta,doduo,spinda
Route 18|raticate,spearow,fearow,doduo,spinda,wingull,wailmer,luvdisc,carvanha,magikarp,krabby,corphish,clamperl,relicanth
Pokemon Mansion|raticate,growlithe,grimer,koffing,weezing,mightyena,gulpin,houndour,torkoal,ditto
Safari Zone|nidorino,parasect,venonat,exeggcute,rhyhorn,chansey,scyther,phanpy,donphan,psyduck,magikarp,feebas,slowpoke,goldeen,carvanha,seaking,dratini,dragonair,paras,doduo,kangaskhan,girafarig,seviper,venomoth,tauros,aipom
Seafoam Islands|zubat,golbat,psyduck,swinub,spheal,golduck,snorunt,seel,sneasel,dewgong,horsea,magikarp,krabby,gyarados,sealeo
Power Plant|pikachu,magnemite,magneton,voltorb,electabuzz,elekid,plusle,beldum
Route 12|pidgey,oddish,gloom,venonat,tentacool,carvanha,magikarp,krabby,goldeen,barboach,psyduck,horsea,gyarados,chinchou,corphish
Route 13|pidgey,venonat,bellsprout,weepinbell,ditto,sunkern,swellow,tentacool,magikarp,krabby,goldeen,corphish,psyduck,horsea,seadra,milotic
Route 14|pidgey,pidgeotto,oddish,gloom,venonat,ditto,ekans,persian,natu,kecleon,vigoroth,seviper
Route 15|pidgey,oddish,gloom,venonat,ditto,sunkern,swellow,wingull,pelipper,luvdisc,carvanha,magikarp,corsola,remoraid,clamperl,relicanth
Icefall Cave|zubat,golbat,psyduck,seel,dewgong,wooper,magikarp,poliwag,goldeen,poliwhirl,gyarados,swinub,delibird,tentacool,tentacruel,lapras,horsea,shellder,seadra
Monean Chamber|unown
Liptoo Chamber|unown
Weepth Chamber|unown
Dilford Chamber|unown
Scufib Chamber|unown
Rixy Chamber|unown
Viapois Chamber|unown
Bond Bridge|pidgey,pidgeotto,oddish,gloom,venonat,meowth,persian,psyduck,tentacool,tentacruel,magikarp,horsea,seadra,gyarados
Berry Forest|pidgey,pidgeotto,oddish,gloom,venonat,venomoth,psyduck,drowzee,hypno,exeggcute,golduck,magikarp,poliwag,goldeen,seaking,gyarados
Kindle Road|spearow,fearow,meowth,persian,psyduck,geodude,ponyta,rapidash,tentacool,tentacruel,graveler,magikarp,horsea,seadra,gyarados
Treasure Beach|spearow,fearow,meowth,persian,psyduck,tangela,tentacool,tentacruel,magikarp,horsea,seadra,gyarados
Victory Road|arbok,zubat,golbat,machop,graveler,onix,marowak,meditite,lairon,primeape,machoke,geodude,gligar,makuhita,hariyama,seviper
Route 23|spearow,fearow,ekans,arbok,mankey,primeape,psyduck,magikarp,poliwag,goldeen,poliwhirl,gyarados
Cerulean Cave|golbat,parasect,primeape,machoke,magneton,electrode,ditto,wobbuffet,psyduck,golduck,geodude,graveler,magikarp,poliwag,goldeen,poliwhirl,gyarados,kadabra
Poolwhirl|lugia,celebi,kyogre,groudon,rayquaza
Pallet Town|tentacool,carvanha,poliwag,magikarp,krabby,horsea,chinchou,shellder,seadra,gyarados,corphish,clamperl
Viridian City|psyduck,poliwag,magikarp,goldeen,barboach,poliwhirl,gyarados,milotic
S.S. Anne|tentacool,magikarp,krabby,horsea,psyduck,shellder,gyarados
Resort Gorgeous|tentacool,tentacruel,hoppip,magikarp,horsea,psyduck,seadra,gyarados,qwilfish
Water Labyrinth|tentacool,tentacruel,hoppip,magikarp,horsea,psyduck,seadra,gyarados,qwilfish
